make,body-style,engine-size,horsepower,width,fuel-type,drive-wheels,curb-weight,num-of-cylinders,city-mpg,highway-mpg,price
alfa-romero,convertible,130,111.0,64.1,gas,rwd,2548,four,21,27,13495.0
alfa-romero,convertible,130,111.0,64.1,gas,rwd,2548,four,21,27,16500.0
alfa-romero,hatchback,152,154.0,65.5,gas,rwd,2823,six,19,26,16500.0
audi,sedan,109,102.0,66.2,gas,fwd,2337,four,24,30,13950.0
audi,sedan,136,115.0,66.4,gas,4wd,2824,five,18,22,17450.0
audi,sedan,136,110.0,66.3,gas,fwd,2507,five,19,25,15250.0
audi,sedan,136,110.0,71.4,gas,fwd,2844,five,19,25,17710.0
audi,wagon,136,110.0,71.4,gas,fwd,2954,five,19,25,18920.0
audi,sedan,131,140.0,71.4,gas,fwd,3086,five,17,20,23875.0
audi,hatchback,131,160.0,67.9,gas,4wd,3053,five,16,22,
bmw,sedan,108,101.0,64.8,gas,rwd,2395,four,23,29,16430.0
bmw,sedan,108,101.0,64.8,gas,rwd,2395,four,23,29,16925.0
bmw,sedan,164,121.0,64.8,gas,rwd,2710,six,21,28,20970.0
bmw,sedan,164,121.0,64.8,gas,rwd,2765,six,21,28,21105.0
bmw,sedan,164,121.0,66.9,gas,rwd,3055,six,20,25,24565.0
bmw,sedan,209,182.0,66.9,gas,rwd,3230,six,16,22,30760.0
bmw,sedan,209,182.0,67.9,gas,rwd,3380,six,16,22,41315.0
bmw,sedan,209,182.0,70.9,gas,rwd,3505,six,15,20,36880.0
chevrolet,hatchback,61,48.0,60.3,gas,fwd,1488,three,47,53,5151.0
chevrolet,hatchback,90,70.0,63.6,gas,fwd,1874,four,38,43,6295.0
chevrolet,sedan,90,70.0,63.6,gas,fwd,1909,four,38,43,6575.0
dodge,hatchback,90,68.0,63.8,gas,fwd,1876,four,37,41,5572.0
dodge,hatchback,90,68.0,63.8,gas,fwd,1876,four,31,38,6377.0
dodge,hatchback,98,102.0,63.8,gas,fwd,2128,four,24,30,7957.0
dodge,hatchback,90,68.0,63.8,gas,fwd,1967,four,31,38,6229.0
dodge,sedan,90,68.0,63.8,gas,fwd,1989,four,31,38,6692.0
dodge,sedan,90,68.0,63.8,gas,fwd,1989,four,31,38,7609.0
dodge,sedan,98,102.0,63.8,gas,fwd,2191,four,24,30,8558.0
dodge,wagon,122,88.0,64.6,gas,fwd,2535,four,24,30,8921.0
dodge,hatchback,156,145.0,66.3,gas,fwd,2811,four,19,24,12964.0
honda,hatchback,92,58.0,63.9,gas,fwd,1713,four,49,54,6479.0
honda,hatchback,92,76.0,63.9,gas,fwd,1819,four,31,38,6855.0
honda,hatchback,79,60.0,64.0,gas,fwd,1837,four,38,42,5399.0
honda,hatchback,92,76.0,64.0,gas,fwd,1940,four,30,34,6529.0
honda,hatchback,92,76.0,64.0,gas,fwd,1956,four,30,34,7129.0
honda,sedan,92,76.0,64.0,gas,fwd,2010,four,30,34,7295.0
honda,wagon,92,76.0,63.9,gas,fwd,2024,four,30,34,7295.0
honda,hatchback,110,86.0,65.2,gas,fwd,2236,four,27,33,7895.0
honda,hatchback,110,86.0,65.2,gas,fwd,2289,four,27,33,9095.0
honda,sedan,110,86.0,65.2,gas,fwd,2304,four,27,33,8845.0
honda,sedan,110,86.0,62.5,gas,fwd,2372,four,27,33,10295.0
honda,sedan,110,101.0,65.2,gas,fwd,2465,four,24,28,12945.0
honda,sedan,110,100.0,66.0,gas,fwd,2293,four,25,31,10345.0
isuzu,sedan,111,78.0,61.8,gas,rwd,2337,four,24,29,6785.0
isuzu,sedan,90,70.0,63.6,gas,fwd,1874,four,38,43,
isuzu,sedan,90,70.0,63.6,gas,fwd,1909,four,38,43,
isuzu,hatchback,119,90.0,65.2,gas,rwd,2734,four,24,29,11048.0
jaguar,sedan,258,176.0,69.6,gas,rwd,4066,six,15,19,32250.0
jaguar,sedan,258,176.0,69.6,gas,rwd,4066,six,15,19,35550.0
jaguar,sedan,326,262.0,70.6,gas,rwd,3950,twelve,13,17,36000.0
mazda,hatchback,91,68.0,64.2,gas,fwd,1890,four,30,31,5195.0
mazda,hatchback,91,68.0,64.2,gas,fwd,1900,four,31,38,6095.0
mazda,hatchback,91,68.0,64.2,gas,fwd,1905,four,31,38,6795.0
mazda,sedan,91,68.0,64.2,gas,fwd,1945,four,31,38,6695.0
mazda,sedan,91,68.0,64.2,gas,fwd,1950,four,31,38,7395.0
mazda,hatchback,70,101.0,65.7,gas,rwd,2380,two,17,23,10945.0
mazda,hatchback,70,101.0,65.7,gas,rwd,2380,two,17,23,11845.0
mazda,hatchback,70,101.0,65.7,gas,rwd,2385,two,17,23,13645.0
mazda,hatchback,80,135.0,65.7,gas,rwd,2500,two,16,23,15645.0
mazda,hatchback,122,84.0,66.5,gas,fwd,2385,four,26,32,8845.0
mazda,sedan,122,84.0,66.5,gas,fwd,2410,four,26,32,8495.0
