brand,body_type,year,month,fuel_type,transmission,engine_vol,mileage_k,condition,owners,reg_type,fuel_efficiency,max_power,seats,segment,price_inr,age,mileage_per_year,age_squared,brand_tier
Maruti Suzuki,Sedan,2014,11,Diesel,Manual,1.2,145.5,Good,1,Private,23.4,74.0,5,Budget,450000,11.4,12.8,130.0,1
Skoda,Sedan,2014,12,Diesel,Manual,1.5,120.0,Good,2,Private,21.1,103.5,5,Mid-Range,370000,11.3,10.6,127.7,2
Honda,Sedan,2006,9,Petrol,Manual,1.5,140.0,Good,3,Private,17.7,78.0,5,Mid-Range,158000,19.6,7.1,384.2,2
Hyundai,Hatchback,2010,11,Diesel,Manual,1.4,127.0,Good,1,Private,23.0,90.0,5,Mid-Range,225000,15.4,8.2,237.2,2
Maruti Suzuki,Hatchback,2007,3,Petrol,Manual,1.3,120.0,Fair,1,Private,16.1,88.2,5,Budget,130000,19.1,6.3,364.8,1
Hyundai,Hatchback,2017,5,Petrol,Manual,1.2,45.0,Excellent,1,Private,20.1,81.9,5,Mid-Range,440000,8.9,5.1,79.2,2
Maruti Suzuki,Hatchback,2007,5,Petrol + CNG,Manual,1.1,175.0,Fair,1,Private,17.3,57.5,5,Budget,96000,18.9,9.3,357.2,1
Maruti Suzuki,Hatchback,2001,10,Petrol + CNG,Manual,0.8,5.0,Fair,2,Private,16.1,37.0,4,Budget,45000,24.5,0.2,600.2,1
Toyota,Hatchback,2011,7,Diesel,Manual,1.4,90.0,Fair,1,Taxi,23.6,67.1,5,Mid-Range,350000,14.8,6.1,219.0,2
Ford,Hatchback,2013,4,Diesel,Manual,1.4,169.0,Good,1,Private,20.0,68.1,5,Mid-Range,200000,13.0,13.0,169.0,2
Renault,SUV,2014,11,Diesel,Manual,1.5,68.0,Fair,2,Private,19.0,108.4,5,Budget,500000,11.4,6.0,130.0,1
